Timestamp,CH1 Volts,CH2 Volts,CH3 C,CH4 Volts,CH5 m/s^2,CH6 m/s^2,CH7 m/s^2,CH8 C
2025-03-08_12-32-31-623000,3.59,2.78,24.9,4.09,0.14,-0.05,0.11,25.3
2025-03-08_12-32-32-123000,3.39,2.83,25.2,4.13,0.21,-0.11,0.01,25.9
2025-03-08_12-32-32-623000,3.38,2.89,25.0,4.16,0.04,-0.12,0.16,25.9
2025-03-08_12-32-33-123000,3.51,2.86,26.6,4.08,0.18,-0.11,0.11,26.7
2025-03-08_12-32-33-623000,3.38,2.76,25.6,4.08,0.15,0.01,0.14,26.3
2025-03-08_12-32-34-123000,3.48,2.77,25.8,4.14,0.13,-0.11,0.0,25.6
2025-03-08_12-32-34-623000,3.52,2.78,25.7,4.09,0.06,-0.02,0.11,25.9
2025-03-08_12-32-35-123000,3.48,2.76,25.7,4.1,0.04,-0.06,0.2,25.7
2025-03-08_12-32-35-623000,3.48,2.78,25.6,4.12,0.12,-0.07,0.17,26.2
2025-03-08_12-32-36-123000,3.4,2.77,25.9,4.12,0.17,-0.04,0.13,25.3
2025-03-08_12-32-36-623000,3.38,2.84,24.7,4.13,0.11,-0.01,0.03,26.0
2025-03-08_12-32-37-123000,3.47,2.86,25.4,4.13,0.08,-0.03,0.12,25.8
2025-03-08_12-32-37-623000,3.45,2.75,25.4,4.11,0.06,-0.08,0.0,26.2
2025-03-08_12-32-38-123000,3.41,2.73,25.1,4.11,0.16,-0.02,0.1,41.8
2025-03-08_12-32-38-623000,3.43,2.83,24.9,4.22,0.07,-0.05,0.01,25.7
2025-03-08_12-32-39-123000,3.43,2.88,25.6,4.13,0.05,0.03,0.05,25.7
2025-03-08_12-32-39-623000,3.49,2.77,25.5,4.18,0.12,-0.01,0.08,26.2
2025-03-08_12-32-40-123000,3.45,2.84,25.1,4.1,0.1,0.05,0.06,26.1
2025-03-08_12-32-40-623000,3.46,2.74,25.1,4.18,0.16,-0.13,0.02,25.1
2025-03-08_12-32-41-123000,3.42,2.74,25.8,4.04,0.21,0.05,0.13,26.2
2025-03-08_12-32-41-623000,3.49,2.8,26.0,4.1,0.04,-0.02,0.14,26.1
2025-03-08_12-32-42-123000,3.42,2.78,25.9,4.21,0.1,-0.01,0.13,25.8
2025-03-08_12-32-42-623000,3.58,2.77,26.1,4.11,0.05,-0.14,0.11,26.0
2025-03-08_12-32-43-123000,3.36,2.77,24.7,4.06,0.1,-0.03,0.06,25.7
2025-03-08_12-32-43-623000,3.57,2.78,25.5,4.14,0.06,0.02,0.06,25.9
2025-03-08_12-32-44-123000,3.39,2.73,25.3,4.12,0.18,-0.02,0.15,25.4
2025-03-08_12-32-44-623000,3.49,2.74,25.0,4.04,-0.04,-0.04,0.0,25.8
2025-03-08_12-32-45-123000,3.49,2.77,26.2,4.11,0.11,-0.11,0.02,25.7
2025-03-08_12-32-45-623000,3.44,2.78,24.4,4.17,0.09,-0.07,0.01,25.8
2025-03-08_12-32-46-123000,3.41,2.83,24.5,4.16,0.07,-0.12,0.04,26.9
2025-03-08_12-32-46-623000,3.49,2.87,25.6,4.17,0.15,-0.06,0.11,25.8
2025-03-08_12-32-47-123000,3.39,2.76,25.8,4.07,0.07,-0.07,0.12,26.3
2025-03-08_12-32-47-623000,3.37,2.87,25.9,4.1,0.03,-0.03,0.06,25.7
2025-03-08_12-32-48-123000,3.4,2.78,25.0,4.07,0.05,-0.04,0.02,25.5
2025-03-08_12-32-48-623000,3.42,2.71,25.7,4.18,0.04,-0.05,0.09,26.3
2025-03-08_12-32-49-123000,3.4,2.74,25.3,4.13,0.04,-0.08,0.11,26.0
2025-03-08_12-32-49-623000,3.44,2.79,26.2,4.16,0.08,-0.04,0.13,25.7
2025-03-08_12-32-50-123000,3.47,2.78,25.5,4.14,0.12,-0.08,0.02,25.7
2025-03-08_12-32-50-623000,3.46,2.77,25.6,4.1,0.24,-0.05,0.07,25.7
2025-03-08_12-32-51-123000,3.41,2.84,25.4,4.07,0.14,-0.04,0.16,26.1
2025-03-08_12-32-51-623000,3.52,2.83,25.6,4.05,0.08,-0.05,0.07,26.5
2025-03-08_12-32-52-123000,3.44,2.73,26.3,4.11,0.02,-0.05,0.12,26.2
2025-03-08_12-32-52-623000,3.42,2.77,25.5,4.19,0.05,-0.06,0.12,25.9
2025-03-08_12-32-53-123000,3.56,2.66,25.5,4.11,0.14,0.0,0.03,25.9
2025-03-08_12-32-53-623000,3.47,2.81,25.5,3.98,0.09,0.01,0.11,25.9
2025-03-08_12-32-54-123000,3.4,2.81,25.7,4.1,0.08,0.01,0.1,25.7
2025-03-08_12-32-54-623000,3.45,2.78,24.7,4.05,0.21,-0.03,0.08,25.4
2025-03-08_12-32-55-123000,3.46,2.68,25.2,4.14,0.06,-0.05,0.04,26.7
2025-03-08_12-32-55-623000,3.49,2.84,25.5,4.09,0.07,-0.06,0.07,26.3
2025-03-08_12-32-56-123000,3.37,2.72,25.7,4.15,0.15,-0.02,0.09,25.6
2025-03-08_12-32-56-623000,3.48,2.76,24.9,4.1,0.24,-0.04,0.14,26.5
2025-03-08_12-32-57-123000,3.38,2.83,25.5,4.15,0.16,-0.0,0.0,26.1
2025-03-08_12-32-57-623000,3.42,2.81,25.3,4.16,0.13,-0.06,0.16,25.6
2025-03-08_12-32-58-123000,3.46,2.76,25.4,4.09,0.13,-0.04,0.05,26.0
2025-03-08_12-32-58-623000,3.47,2.86,26.4,4.13,0.11,-0.06,0.04,25.7
2025-03-08_12-32-59-123000,3.48,2.82,25.3,4.16,0.2,-0.03,0.17,26.2
2025-03-08_12-32-59-623000,3.49,2.77,26.4,4.1,0.14,-0.11,0.01,26.2
2025-03-08_12-33-00-123000,3.37,2.8,24.8,4.1,0.08,-0.03,0.08,25.9
2025-03-08_12-33-00-623000,3.42,2.75,25.6,4.16,0.07,0.03,0.17,26.1
2025-03-08_12-33-01-123000,3.41,2.78,25.7,4.17,0.07,-0.08,0.1,26.1
2025-03-08_12-33-01-623000,3.42,2.76,26.3,4.08,0.13,-0.02,0.01,26.2
2025-03-08_12-33-02-123000,3.51,2.75,26.1,4.09,0.11,-0.06,0.15,26.7
2025-03-08_12-33-02-623000,3.44,2.77,26.2,4.19,0.08,-0.03,0.06,43.2
2025-03-08_12-33-03-123000,3.36,2.73,26.1,4.1,0.16,-0.07,0.07,26.1
2025-03-08_12-33-03-623000,3.44,2.86,25.5,4.15,0.19,0.02,0.08,25.9
2025-03-08_12-33-04-123000,3.38,2.8,26.0,4.07,0.17,-0.05,0.02,25.8
2025-03-08_12-33-04-623000,3.43,2.71,25.5,4.04,0.15,0.04,0.07,26.3
2025-03-08_12-33-05-123000,3.54,2.75,24.7,4.19,0.16,-0.08,0.06,25.6
2025-03-08_12-33-05-623000,3.47,2.85,24.7,4.17,0.28,-0.06,0.09,27.1
2025-03-08_12-33-06-123000,3.44,2.74,25.2,4.06,0.16,-0.05,0.02,26.3
2025-03-08_12-33-06-623000,3.45,2.78,25.4,4.14,0.16,-0.03,-0.01,26.2
2025-03-08_12-33-07-123000,3.44,2.75,24.9,4.1,0.21,-0.04,-0.02,26.3
2025-03-08_12-33-07-623000,3.42,2.7,25.8,4.09,0.14,-0.04,0.04,26.1
2025-03-08_12-33-08-123000,3.45,2.88,25.8,4.16,0.08,-0.04,0.09,25.5
2025-03-08_12-33-08-623000,3.48,2.74,24.6,4.04,0.03,-0.08,0.11,26.9
2025-03-08_12-33-09-123000,3.51,2.71,25.6,4.13,0.12,-0.05,0.14,26.4
2025-03-08_12-33-09-623000,3.48,2.78,25.1,4.1,0.14,-0.15,0.14,26.4
2025-03-08_12-33-10-123000,3.4,2.81,25.6,4.2,0.21,-0.08,0.04,26.3
2025-03-08_12-33-10-623000,3.45,2.81,25.5,4.03,0.11,-0.08,0.05,26.5
2025-03-08_12-33-11-123000,3.48,2.75,25.7,4.06,0.09,-0.04,0.13,26.0
2025-03-08_12-33-11-623000,3.37,2.72,26.1,4.15,0.01,-0.04,0.06,26.2
2025-03-08_12-33-12-123000,3.45,2.85,25.7,4.11,0.07,0.05,0.06,26.2
2025-03-08_12-33-12-623000,3.43,2.79,25.3,4.05,0.1,-0.15,0.07,26.4
2025-03-08_12-33-13-123000,3.52,2.75,25.8,4.12,0.15,-0.04,0.11,25.8
2025-03-08_12-33-13-623000,3.41,2.86,25.1,4.19,0.12,-0.03,-0.03,26.1
2025-03-08_12-33-14-123000,3.42,2.71,24.9,4.14,0.23,-0.04,0.01,25.3
2025-03-08_12-33-14-623000,3.38,2.79,25.1,4.11,0.06,-0.03,0.08,26.4
2025-03-08_12-33-15-123000,3.41,2.82,25.4,4.07,0.15,-0.02,-0.0,25.6
2025-03-08_12-33-15-623000,3.46,2.83,25.5,4.12,0.15,-0.11,0.11,26.5
2025-03-08_12-33-16-123000,3.42,2.81,25.9,4.01,0.02,-0.17,0.07,25.0
2025-03-08_12-33-16-623000,3.47,2.77,25.7,4.11,0.12,-0.07,0.07,26.4
2025-03-08_12-33-17-123000,3.47,2.73,25.5,4.19,0.08,-0.05,0.13,25.4
2025-03-08_12-33-17-623000,3.45,2.9,25.3,4.15,0.15,-0.09,0.08,26.2
2025-03-08_12-33-18-123000,3.46,2.76,25.4,4.11,-0.02,-0.01,0.07,26.3
2025-03-08_12-33-18-623000,3.4,2.75,25.2,4.16,0.13,-0.04,0.07,26.4
2025-03-08_12-33-19-123000,3.39,2.76,25.7,4.14,0.1,-0.04,0.09,25.9
2025-03-08_12-33-19-623000,3.41,2.91,24.7,4.15,0.18,-0.08,0.04,25.5
2025-03-08_12-33-20-123000,3.34,2.81,25.3,4.09,0.15,-0.01,0.0,26.0
2025-03-08_12-33-20-623000,3.43,2.75,25.7,4.07,0.15,-0.05,0.07,25.4
2025-03-08_12-33-21-123000,3.42,2.7,25.3,4.15,0.27,-0.08,0.08,26.0
2025-03-08_12-33-21-623000,3.51,2.82,25.1,4.19,0.04,0.02,0.09,25.8
2025-03-08_12-33-22-123000,3.44,2.81,25.6,4.14,0.11,-0.04,0.13,26.1
2025-03-08_12-33-22-623000,3.47,2.79,25.9,4.1,0.12,-0.07,0.1,25.9
2025-03-08_12-33-23-123000,3.48,2.83,25.7,4.08,0.12,-0.0,0.08,26.0
2025-03-08_12-33-23-623000,3.41,2.8,26.1,4.06,-0.04,-0.12,0.11,25.6
2025-03-08_12-33-24-123000,3.36,2.83,25.7,4.1,0.09,-0.01,0.14,25.8
2025-03-08_12-33-24-623000,3.5,2.75,26.0,4.13,0.12,-0.03,0.15,26.9
2025-03-08_12-33-25-123000,3.42,2.82,25.4,4.16,0.17,-0.09,0.14,26.8
2025-03-08_12-33-25-623000,3.43,2.82,25.4,4.04,0.15,-0.02,0.04,26.4
2025-03-08_12-33-26-123000,3.48,2.73,25.3,4.02,0.14,-0.07,0.04,25.4
2025-03-08_12-33-26-623000,3.5,2.76,25.6,4.09,0.15,0.13,0.08,25.7
2025-03-08_12-33-27-123000,3.42,2.74,25.8,4.1,0.08,-0.0,0.1,27.0
2025-03-08_12-33-27-623000,3.47,2.72,25.5,4.19,0.14,-0.02,0.09,26.0
2025-03-08_12-33-28-123000,3.46,2.72,25.4,4.03,0.16,-0.05,0.14,26.1
2025-03-08_12-33-28-623000,3.4,2.8,25.8,4.07,0.13,-0.01,-0.03,25.9
2025-03-08_12-33-29-123000,3.52,2.74,25.7,4.15,0.24,-0.07,0.03,26.0
2025-03-08_12-33-29-623000,3.44,2.75,25.6,4.22,0.14,0.0,0.08,26.0
2025-03-08_12-33-30-123000,3.47,2.8,25.2,4.1,0.11,-0.02,0.05,25.5
2025-03-08_12-33-30-623000,3.41,2.76,26.3,4.17,0.16,-0.04,0.15,26.1
2025-03-08_12-33-31-123000,3.52,2.72,25.3,4.1,0.08,-0.05,0.07,26.0
2025-03-08_12-33-31-623000,3.49,2.74,24.3,4.16,0.15,-0.04,0.08,25.8
2025-03-08_12-33-32-123000,3.48,2.7,26.0,4.12,-0.03,-0.08,0.07,25.9
2025-03-08_12-33-32-623000,3.39,2.8,26.3,4.18,0.2,-0.04,0.09,25.6
2025-03-08_12-33-33-123000,3.52,2.8,24.4,4.17,0.14,-0.14,0.1,25.7
2025-03-08_12-33-33-623000,3.47,2.79,25.9,4.07,0.07,-0.07,0.17,26.3
2025-03-08_12-33-34-123000,3.41,2.76,25.7,4.11,0.03,-0.07,0.06,25.6
2025-03-08_12-33-34-623000,3.44,2.8,25.4,4.16,0.1,-0.12,-0.03,25.1
2025-03-08_12-33-35-123000,3.44,2.75,25.7,4.12,0.09,0.0,0.11,26.6
2025-03-08_12-33-35-623000,3.39,2.82,25.6,4.09,0.18,0.03,0.14,25.5
2025-03-08_12-33-36-123000,3.43,2.91,25.1,4.13,0.18,-0.04,0.14,25.7
2025-03-08_12-33-36-623000,3.39,2.76,25.6,4.19,0.05,-0.08,0.18,26.3
2025-03-08_12-33-37-123000,3.43,2.84,24.9,4.17,0.2,0.06,0.16,26.4
2025-03-08_12-33-37-623000,3.45,2.86,24.8,4.13,0.19,-0.1,0.16,26.3
2025-03-08_12-33-38-123000,3.4,2.74,26.3,4.12,0.09,-0.06,0.03,25.8
2025-03-08_12-33-38-623000,3.46,2.83,26.0,4.08,0.09,0.01,0.08,25.3
2025-03-08_12-33-39-123000,3.43,2.81,25.5,4.16,0.14,-0.03,0.12,26.1
2025-03-08_12-33-39-623000,3.5,2.79,26.1,4.08,0.11,-0.01,0.07,26.4
2025-03-08_12-33-40-123000,3.44,2.81,26.1,4.02,0.18,-0.04,0.1,25.7
2025-03-08_12-33-40-623000,3.48,2.85,25.3,4.17,0.11,-0.07,0.09,27.0
2025-03-08_12-33-41-123000,3.42,2.78,25.8,4.15,0.12,-0.09,0.04,25.6
2025-03-08_12-33-41-623000,3.51,2.78,24.9,4.11,0.21,-0.03,0.16,25.2
2025-03-08_12-33-42-123000,3.45,2.64,26.0,4.1,0.08,-0.03,0.1,25.8
2025-03-08_12-33-42-623000,3.49,2.73,25.6,4.07,0.07,0.03,0.06,25.3
2025-03-08_12-33-43-123000,3.41,2.76,26.6,4.14,0.07,-0.02,0.1,25.8
2025-03-08_12-33-43-623000,3.47,2.76,25.6,4.14,0.14,0.0,0.04,26.3
2025-03-08_12-33-44-123000,3.48,2.84,24.2,4.09,0.1,-0.06,0.09,26.0
2025-03-08_12-33-44-623000,3.4,2.75,25.3,3.95,0.14,-0.11,0.17,25.3
2025-03-08_12-33-45-123000,3.49,2.77,25.6,4.06,0.16,-0.03,0.06,26.1
2025-03-08_12-33-45-623000,3.43,2.81,25.3,4.06,0.19,-0.05,0.1,25.5
2025-03-08_12-33-46-123000,3.49,2.74,26.2,4.13,0.08,-0.03,0.07,25.5
2025-03-08_12-33-46-623000,3.38,2.72,25.7,4.13,0.14,-0.07,0.01,26.9
2025-03-08_12-33-47-123000,3.46,2.81,24.8,4.09,0.07,-0.08,0.06,25.8
2025-03-08_12-33-47-623000,3.4,2.84,25.4,4.09,0.15,0.02,0.0,25.8
2025-03-08_12-33-48-123000,3.46,2.74,25.2,4.09,0.16,-0.07,0.03,25.7
2025-03-08_12-33-48-623000,3.46,2.76,26.9,4.14,0.15,-0.07,0.05,26.8
2025-03-08_12-33-49-123000,3.45,2.78,26.0,4.18,0.07,-0.02,0.14,25.3
2025-03-08_12-33-49-623000,3.48,2.73,26.0,4.13,0.09,-0.08,0.0,25.9
2025-03-08_12-33-50-123000,3.47,2.87,25.5,4.05,0.08,-0.07,0.18,26.8
2025-03-08_12-33-50-623000,3.59,2.8,26.6,4.01,0.22,0.05,0.04,25.5
2025-03-08_12-33-51-123000,3.45,2.82,26.6,4.13,0.11,-0.12,0.08,26.8
2025-03-08_12-33-51-623000,3.46,2.81,25.8,4.2,0.2,-0.09,0.02,26.6
2025-03-08_12-33-52-123000,3.38,2.74,25.9,4.15,0.1,-0.13,0.18,27.3
2025-03-08_12-33-52-623000,3.45,2.79,25.6,4.07,0.16,-0.07,0.15,26.1
2025-03-08_12-33-53-123000,3.48,2.75,25.0,4.13,0.05,-0.05,0.07,25.7
2025-03-08_12-33-53-623000,3.46,2.74,25.8,4.19,0.1,-0.05,0.07,25.5
2025-03-08_12-33-54-123000,3.45,2.82,25.2,3.98,0.12,0.03,0.03,25.7
2025-03-08_12-33-54-623000,3.34,2.77,25.2,4.15,0.13,-0.03,0.14,26.3
2025-03-08_12-33-55-123000,3.53,2.82,25.5,4.09,0.1,-0.08,0.05,24.4
2025-03-08_12-33-55-623000,3.4,2.75,25.3,4.06,0.16,-0.05,0.05,26.3
2025-03-08_12-33-56-123000,3.41,2.83,25.6,4.05,0.13,-0.06,0.02,25.9
2025-03-08_12-33-56-623000,3.38,2.89,25.4,4.1,0.11,-0.03,0.08,25.6
2025-03-08_12-33-57-123000,3.47,2.77,25.1,4.16,0.18,-0.01,0.12,26.1
2025-03-08_12-33-57-623000,3.45,2.79,25.7,4.14,0.06,-0.1,0.03,25.4
2025-03-08_12-33-58-123000,3.39,2.78,24.9,4.07,0.13,-0.03,0.15,25.7
2025-03-08_12-33-58-623000,3.58,2.81,25.1,4.16,0.07,-0.09,0.07,26.1
2025-03-08_12-33-59-123000,3.48,2.76,26.3,4.08,0.2,-0.04,0.05,25.0
2025-03-08_12-33-59-623000,3.5,2.82,26.4,4.04,0.05,-0.03,0.05,25.5
2025-03-08_12-34-00-123000,3.39,2.7,26.0,4.05,0.13,0.02,0.12,25.1
2025-03-08_12-34-00-623000,3.38,2.8,25.3,4.05,0.2,-0.0,0.09,25.9
2025-03-08_12-34-01-123000,3.56,2.83,25.3,4.08,0.17,-0.05,0.07,26.2
2025-03-08_12-34-01-623000,3.49,2.89,25.9,4.27,0.1,-0.09,0.18,27.0
2025-03-08_12-34-02-123000,3.4,2.71,23.9,4.13,0.09,-0.06,0.24,25.7
2025-03-08_12-34-02-623000,3.38,2.76,26.3,4.06,0.08,-0.14,0.11,25.7
2025-03-08_12-34-03-123000,3.42,2.76,25.3,4.1,0.05,-0.03,0.21,25.7
2025-03-08_12-34-03-623000,3.47,2.86,25.2,4.13,0.11,-0.06,-0.03,25.5
2025-03-08_12-34-04-123000,3.38,2.76,26.3,4.14,0.06,-0.07,0.16,26.3
2025-03-08_12-34-04-623000,3.44,2.76,25.9,4.13,0.17,-0.03,0.13,25.1
2025-03-08_12-34-05-123000,3.52,2.77,25.9,4.05,0.13,-0.09,0.15,25.5
2025-03-08_12-34-05-623000,3.47,2.73,25.4,4.08,0.17,-0.02,0.02,25.8
2025-03-08_12-34-06-123000,3.5,2.7,25.4,4.08,0.21,-0.03,0.06,25.6
2025-03-08_12-34-06-623000,3.48,2.76,25.9,4.15,0.15,-0.03,0.17,25.7
2025-03-08_12-34-07-123000,3.39,2.76,26.4,4.12,0.15,-0.07,0.09,25.0
2025-03-08_12-34-07-623000,3.42,2.85,25.2,4.09,0.06,-0.07,0.06,25.8
2025-03-08_12-34-08-123000,3.45,2.79,26.5,4.02,0.19,0.05,0.07,25.4
2025-03-08_12-34-08-623000,3.43,2.72,25.8,4.19,0.14,-0.06,0.04,26.1
2025-03-08_12-34-09-123000,3.43,2.73,25.8,4.11,0.19,0.01,0.15,25.9
2025-03-08_12-34-09-623000,3.41,2.74,24.8,4.1,0.15,-0.0,0.06,25.9
2025-03-08_12-34-10-123000,3.45,2.78,25.1,4.19,0.13,-0.06,0.05,25.9
2025-03-08_12-34-10-623000,3.43,2.85,25.5,4.05,0.17,-0.14,0.08,26.7
2025-03-08_12-34-11-123000,3.43,2.82,25.7,4.13,0.18,-0.09,0.14,26.6
2025-03-08_12-34-11-623000,3.47,2.73,25.9,4.08,0.17,-0.04,0.1,25.6
2025-03-08_12-34-12-123000,3.48,2.8,25.0,4.04,0.03,-0.02,0.06,26.3
2025-03-08_12-34-12-623000,3.46,2.84,25.7,4.11,0.1,-0.11,0.09,25.5
2025-03-08_12-34-13-123000,3.45,2.78,25.8,4.08,0.14,-0.04,0.09,25.9
2025-03-08_12-34-13-623000,3.56,2.81,25.8,4.02,0.12,-0.01,0.06,26.3
2025-03-08_12-34-14-123000,3.38,2.84,26.4,3.98,0.12,-0.11,0.07,24.8
2025-03-08_12-34-14-623000,3.39,2.73,25.1,4.09,0.16,-0.01,0.11,26.7
2025-03-08_12-34-15-123000,3.47,2.84,25.7,4.13,0.16,-0.0,0.09,25.3
2025-03-08_12-34-15-623000,3.48,2.87,26.0,4.04,0.1,-0.07,0.1,26.2
2025-03-08_12-34-16-123000,3.48,2.78,25.1,4.1,0.11,-0.05,0.05,25.4
2025-03-08_12-34-16-623000,3.42,2.81,25.2,4.03,0.15,0.03,0.06,26.5
2025-03-08_12-34-17-123000,3.44,2.81,25.8,4.12,0.07,-0.03,0.08,26.2
2025-03-08_12-34-17-623000,3.5,2.83,25.9,4.14,0.07,-0.1,0.04,25.9
2025-03-08_12-34-18-123000,3.51,2.74,25.3,4.2,0.16,-0.05,0.09,26.3
2025-03-08_12-34-18-623000,3.4,2.77,26.6,4.16,0.17,-0.05,0.13,26.5
2025-03-08_12-34-19-123000,3.43,2.84,25.2,4.16,0.17,-0.14,0.17,25.9
2025-03-08_12-34-19-623000,3.49,2.81,25.8,4.03,0.18,-0.1,0.07,26.1
2025-03-08_12-34-20-123000,3.49,2.75,25.3,4.11,0.08,0.01,0.02,25.6
2025-03-08_12-34-20-623000,3.5,2.76,25.8,4.08,0.1,-0.04,0.05,25.9
2025-03-08_12-34-21-123000,3.45,2.73,25.7,4.17,0.18,-0.03,0.05,25.5
2025-03-08_12-34-21-623000,3.42,2.77,25.8,4.07,0.14,-0.09,0.1,26.1
2025-03-08_12-34-22-123000,3.53,2.79,25.8,4.12,0.13,-0.05,0.16,26.3
2025-03-08_12-34-22-623000,3.43,2.79,25.4,4.18,0.13,-0.06,0.07,26.9
2025-03-08_12-34-23-123000,3.45,2.75,25.5,4.11,0.17,-0.07,0.01,25.5
2025-03-08_12-34-23-623000,3.52,2.87,26.2,4.05,0.11,-0.05,0.09,26.8
2025-03-08_12-34-24-123000,3.48,2.71,25.3,4.13,0.12,-0.08,0.06,26.7
2025-03-08_12-34-24-623000,3.51,2.76,24.5,4.15,0.11,-0.01,0.07,25.5
2025-03-08_12-34-25-123000,3.45,2.76,25.7,4.12,0.08,-0.06,-0.0,26.2
2025-03-08_12-34-25-623000,3.41,2.71,26.6,4.08,0.16,-0.07,0.06,26.4
2025-03-08_12-34-26-123000,3.41,2.77,25.8,4.11,0.09,-0.06,0.07,26.7
2025-03-08_12-34-26-623000,3.5,2.8,25.3,4.12,0.22,-0.15,0.13,26.5
2025-03-08_12-34-27-123000,3.46,2.84,25.8,4.11,0.19,-0.08,0.0,26.3
2025-03-08_12-34-27-623000,3.47,2.71,26.5,4.11,0.13,-0.05,0.1,26.4
2025-03-08_12-34-28-123000,3.38,2.69,25.7,4.15,0.11,-0.09,0.03,26.0
2025-03-08_12-34-28-623000,3.48,2.83,26.0,4.14,0.19,-0.05,0.04,25.8
2025-03-08_12-34-29-123000,3.45,2.76,25.6,4.05,0.12,-0.01,0.1,26.4
2025-03-08_12-34-29-623000,3.45,2.73,26.8,4.07,0.11,-0.04,0.13,26.7
2025-03-08_12-34-30-123000,3.41,2.72,26.1,4.07,0.15,-0.06,0.08,25.5
2025-03-08_12-34-30-623000,3.51,2.7,26.2,4.13,0.11,-0.06,0.03,25.6
2025-03-08_12-34-31-123000,3.44,2.76,25.9,4.14,0.14,-0.13,0.1,25.8
2025-03-08_12-34-31-623000,3.45,2.74,25.6,4.16,0.12,0.02,0.17,26.4
2025-03-08_12-34-32-123000,3.46,2.78,25.3,4.15,0.07,-0.02,0.05,26.2
2025-03-08_12-34-32-623000,3.39,2.9,26.1,4.13,0.09,-0.01,0.14,26.5
2025-03-08_12-34-33-123000,3.5,2.8,25.5,4.11,0.14,-0.04,0.03,25.0
2025-03-08_12-34-33-623000,3.42,2.79,25.1,4.11,0.11,-0.13,0.04,26.3
2025-03-08_12-34-34-123000,3.38,2.86,26.2,4.13,0.16,-0.04,0.0,25.6
2025-03-08_12-34-34-623000,3.53,2.84,25.9,4.25,0.22,-0.04,0.07,26.1
2025-03-08_12-34-35-123000,3.4,2.84,25.5,4.05,0.13,-0.08,-0.01,25.7
2025-03-08_12-34-35-623000,3.44,2.79,25.1,4.06,0.15,-0.04,0.07,26.4
2025-03-08_12-34-36-123000,3.51,2.81,25.4,4.13,0.16,-0.12,0.11,26.0
2025-03-08_12-34-36-623000,3.5,2.77,25.0,4.08,0.11,-0.08,0.13,26.2
2025-03-08_12-34-37-123000,3.42,2.79,25.6,4.13,0.06,-0.02,0.12,25.9
2025-03-08_12-34-37-623000,3.51,2.8,25.4,4.08,0.11,-0.04,0.05,25.8
2025-03-08_12-34-38-123000,3.53,2.82,26.8,4.02,0.16,0.0,0.12,26.2
2025-03-08_12-34-38-623000,3.48,2.8,25.8,4.16,0.17,-0.04,0.13,25.7
2025-03-08_12-34-39-123000,3.48,2.73,25.7,4.13,0.11,-0.11,0.08,26.4
2025-03-08_12-34-39-623000,3.41,2.75,25.5,4.02,0.16,-0.04,0.12,26.0
2025-03-08_12-34-40-123000,3.4,2.8,26.7,4.14,0.03,-0.06,0.1,25.2
2025-03-08_12-34-40-623000,3.38,2.79,25.7,4.06,0.08,-0.09,0.14,26.1
2025-03-08_12-34-41-123000,3.48,2.85,25.3,4.13,0.13,-0.01,0.04,26.4
2025-03-08_12-34-41-623000,3.45,2.86,25.2,4.07,0.15,0.04,0.07,25.5
2025-03-08_12-34-42-123000,3.35,2.77,25.1,4.11,0.15,-0.01,0.04,25.6
2025-03-08_12-34-42-623000,3.44,2.83,25.8,4.1,0.18,-0.01,0.11,25.7
2025-03-08_12-34-43-123000,3.54,2.89,25.7,3.95,0.21,-0.06,0.13,25.9
2025-03-08_12-34-43-623000,3.55,2.8,25.2,4.14,0.18,-0.01,0.04,25.8
2025-03-08_12-34-44-123000,3.38,2.72,25.4,4.09,0.13,-0.01,0.06,26.4
2025-03-08_12-34-44-623000,3.41,2.8,25.8,4.08,0.11,-0.13,0.05,25.9
2025-03-08_12-34-45-123000,3.44,2.71,26.1,4.13,0.1,-0.11,0.15,26.4
2025-03-08_12-34-45-623000,3.52,2.83,26.1,4.06,0.22,-0.09,0.03,26.3
2025-03-08_12-34-46-123000,3.32,2.7,25.9,4.09,0.12,-0.03,0.06,25.9
2025-03-08_12-34-46-623000,3.4,2.75,25.5,4.19,0.2,0.01,0.06,25.9
2025-03-08_12-34-47-123000,3.44,2.78,25.5,4.11,0.11,0.01,0.13,26.7
2025-03-08_12-34-47-623000,3.51,2.74,25.2,4.08,0.14,-0.05,0.1,26.5
2025-03-08_12-34-48-123000,3.45,2.79,25.9,4.01,0.12,-0.14,0.07,25.8
2025-03-08_12-34-48-623000,3.43,2.72,25.0,4.16,0.11,0.05,0.1,26.4
2025-03-08_12-34-49-123000,3.46,2.81,25.4,4.14,0.14,-0.02,-0.06,26.6
2025-03-08_12-34-49-623000,3.51,2.73,25.8,4.11,0.12,-0.1,0.04,26.0
2025-03-08_12-34-50-123000,3.44,2.74,25.9,4.12,0.11,-0.01,-0.0,26.0
2025-03-08_12-34-50-623000,3.39,2.74,25.2,4.11,0.14,-0.02,0.12,26.2
2025-03-08_12-34-51-123000,3.47,2.8,24.7,4.02,0.23,-0.03,0.03,26.6
2025-03-08_12-34-51-623000,3.48,2.8,25.6,4.19,0.1,-0.04,0.05,25.7
2025-03-08_12-34-52-123000,3.39,2.74,24.8,4.14,0.17,-0.04,0.06,25.9
2025-03-08_12-34-52-623000,3.46,2.77,26.9,4.05,0.14,-0.01,0.11,25.9
2025-03-08_12-34-53-123000,3.46,2.74,26.2,4.12,0.07,-0.11,0.06,25.9
